Feature,Importance
speed_of_headcentre_in_xyz_t-7,0.000972739015328396
nose_recognized_t-11,0.0009721846405936043
distance_to_boundary_dynamic_hipl_in_oft_t-4,0.0009705603454749
distance_between_hipl_and_tailbase_on_x_t-1,0.0009684006770368582
height_of_headcentre_t+8,0.000966202157047612
height_of_headcentre_t-2,0.0009564954565598056
distance_between_bcl_and_hipl_on_z_t-12,0.0009531910942696417
distance_between_neck_and_bcl_on_z_t-9,0.0009445628883261122
distance_to_boundary_dynamic_earl_in_oft_t-15,0.0009429959759676744
distance_between_bodycentre_and_tailbase_on_z_t+12,0.0009415289019627688
speed_of_tailbase_in_xyz_t+5,0.0009341308518605357
distance_to_boundary_dynamic_earl_in_oft_t-7,0.0009330083019530549
distance_to_boundary_dynamic_bodycentre_in_oft_t+9,0.0009326595166095506
distance_to_boundary_dynamic_headcentre_in_oft_t-6,0.0009284052930151497
distance_to_boundary_dynamic_bcr_in_oft_t+3,0.000927582187567655
height_of_headcentre_t-7,0.0009273293955981452
standard_deviation_headcentre_t-8,0.0009256487959435622
distance_to_boundary_dynamic_headcentre_in_oft_t-1,0.0009187574136703461
distance_between_neck_and_bodycentre_on_y_t-10,0.0009178482396172452
distance_to_boundary_dynamic_neck_in_oft_t-10,0.000910172996061194
height_of_earr_t+8,0.0009085797210733282
distance_between_bodycentre_and_tailbase_on_x_t+1,0.0009071972501395622
height_of_bcr_t+8,0.0009047729822117739
distance_between_bcr_and_hipr_on_x_t-7,0.0008969017975127359
speed_of_tailbase_in_xyz_t-2,0.0008956361299906146
speed_of_tailbase_in_xyz_t+7,0.0008945144888043542
height_of_earr_t+13,0.0008942464398189456
distance_between_bcl_and_hipl_on_z_t+13,0.0008929433438133367
distance_between_bodycentre_and_tailbase_on_x_t+10,0.0008919953119290596
distance_between_bcl_and_hipl_on_z_t-13,0.0008891129286480707
distance_between_neck_and_bcl_on_y_t-1,0.0008887239035150495
speed_of_nose_in_xyz_t-10,0.0008844731133564582
speed_of_bodycentre_in_xyz_t+1,0.0008811335363856906
distance_to_boundary_dynamic_neck_in_oft_t-6,0.0008722359126744384
speed_of_earr_in_xyz_t+7,0.0008721523672765039
speed_of_tailbase_in_xyz_t-6,0.0008667831663271465
distance_between_bodycentre_and_tailbase_on_x_t+8,0.0008595686232642369
height_of_headcentre_t-14,0.0008563597219631612
speed_of_tailbase_in_xyz_t-5,0.0008563267846461854
angle_from_tailbase_bodycentre_to_hipl_bcl_in_xy_t+6,0.0008562393364722298
speed_of_nose_in_xyz_t+11,0.0008540158380072724
distance_to_boundary_dynamic_headcentre_in_oft_t-4,0.0008470497688445517
distance_between_neck_and_bcl_on_y_t-7,0.0008452962125198712
distance_to_boundary_dynamic_neck_in_oft_t-12,0.000841493625731166
distance_between_neck_and_bodycentre_on_x_t-5,0.0008404435881660385
distance_between_bcr_and_hipr_on_z_t0,0.0008395279988053458
distance_to_boundary_dynamic_earr_in_oft_t+5,0.000837127004986292
distance_between_bodycentre_and_tailbase_on_z_t+6,0.0008356832011322426
distance_to_boundary_dynamic_bcr_in_oft_t-5,0.0008314446681109118
height_of_headcentre_t-15,0.0008299042473834363
height_of_earr_t+11,0.0008294754686566949
distance_to_boundary_dynamic_earr_in_oft_t-2,0.0008287524266853815
height_of_earr_t+3,0.0008269440177174603
height_of_headcentre_t+7,0.0008249086850243241
distance_between_bodycentre_and_tailbase_on_x_t-14,0.0008208622621932954
distance_between_neck_and_bcr_on_z_t-5,0.0008201283018421214
height_of_neck_t+7,0.0008174562961179106
